name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
AERMACCHI SF.260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
TUSAS SF-260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260M,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260F,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260E,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260C,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260A,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260D,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI Warrior,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260W Warrior,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
SIAI-MARCHETTI SF-260B,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
AERMACCHI T-260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
AERMACCHI F-260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m
AERMACCHI MB-339,AERMACCHI,MB-339,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, low set",Jet,Single,10.90 m,11.00 m,4.00 m
AERMACCHI MB-339,AERMACCHI,MB-339,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, low set",Jet,Single,10.90 m,11.00 m,4.00 m
AERO (1) Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO (1) L-26B Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO (1) U-4A Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO (1) Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO COMMANDER Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO COMMANDER 560 Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m
AERO (2) L-159,AERO (2),L-159,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, mid set",Jet,Single,9.50 m,12.70 m,4.80 m
AERO (2) Albatros 2,AERO (2),L-159,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, mid set",Jet,Single,9.50 m,12.70 m,4.80 m
AERO (2) L-159 Albatros 2,AERO (2),L-159,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, mid set",Jet,Single,9.50 m,12.70 m,4.80 m
AERO (2) L-159,AERO (2),L-159,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, mid set",Jet,Single,9.50 m,12.70 m,4.80 m
