date,registration,cause
"Feb 5, 2025",UP-A0123,Human factor
"Jan 29, 2025",N709PS,Human factor
"Jan 9, 2025",PR-GFS,Human factor
"Jan 8, 2025",HK-2522,Human factor
"Aug 16, 2024",C-FZHG,Human factor
"Jun 10, 2024",MAF-T03,Human factor
"May 6, 2024",ZS-MBH,Human factor
"Mar 14, 2024",N1SS,Human factor
"Feb 9, 2024",5Y-AXL,Human factor
"Jan 20, 2024",RA-09011,Human factor
"Jan 19, 2024",N5799,Human factor
"Jan 11, 2024",N558RA,Human factor
"Jan 2, 2024",JA13XJ,Human factor
"Jan 2, 2024",JA722A,Human factor
"Nov 27, 2023",C-GYUA,Human factor
"Nov 21, 2023",C-GEOW,Human factor
"Nov 10, 2023",RA-84566,Human factor
"Nov 3, 2023",5N-AMM,Human factor
"Oct 26, 2023",N840KB,Human factor
"Oct 23, 2023",N92884,Human factor
"Oct 16, 2023",V3-HIN,Human factor
"Oct 15, 2023",F-HSLE,Human factor
"Sep 8, 2023",N220KW,Human factor
"Aug 17, 2023",N28JV,Human factor
"Aug 15, 2023",N261SW,Human factor
"Aug 9, 2023",,Human factor
"Jul 28, 2023",C-FZVP,Human factor
"Jul 8, 2023",SE-KCE,Human factor
"Jul 8, 2023",N819KR,Human factor
"Jun 23, 2023",PK-SMW,Human factor
"Jun 18, 2023",N463HP,Human factor
"Jun 8, 2023",N340SW,Human factor
"May 11, 2023",PK-LRU,Human factor
"Apr 7, 2023",VH-HJE,Human factor
"Mar 6, 2023",N4PZ,Human factor
"Feb 18, 2023",RP-C2080,Human factor
"Feb 9, 2023",P2-BJD,Human factor
"Feb 6, 2023",N619SW,Human factor
"Feb 2, 2023",N864JB,Human factor
"Jan 28, 2023",N107DF,Human factor
"Jan 18, 2023",N4765G,Human factor
"Jan 18, 2023",N200EJ,Human factor
"Jan 15, 2023",9N-ANC,Human factor
"Dec 14, 2022",N5EQ,Human factor
"Dec 13, 2022",C-GZPU,Human factor
"Nov 29, 2022",N988MC,Human factor
"Nov 18, 2022",CC-BHB,Human factor
"Nov 18, 2022",N2069B,Human factor
"Nov 15, 2022",N247DH,Human factor
"Nov 14, 2022",CU-A1885,Human factor
"Nov 12, 2022",N7227C,Human factor
"Nov 9, 2022",N234PM,Human factor
"Nov 6, 2022",N809DM,Human factor
"Nov 6, 2022",5H-PWF,Human factor
"Nov 5, 2022",N51AL,Human factor
"Oct 27, 2022",I-DPCN,Human factor
"Oct 13, 2022",C-FDDX,Human factor
"Oct 3, 2022",VH-WQA,Human factor
"Sep 20, 2022",N528DV,Human factor
"Sep 13, 2022",N43605,Human factor
"Sep 9, 2022",N77VJ,Human factor
"Sep 9, 2022",N26FN,Human factor
"Sep 3, 2022",N342ER,Human factor
"Aug 18, 2022",N740WJ,Human factor
"Aug 14, 2022",N325FA,Human factor
"Jul 26, 2022",N9776R,Human factor
"Jul 17, 2022",N97CX,Human factor
"Jul 15, 2022",RA-02240,Human factor
"Jun 22, 2022",RA-30001,Human factor
"Jun 21, 2022",RA-17742,Human factor
"Jun 3, 2022",N7581F,Human factor
"May 29, 2022",9N-AET,Human factor
"May 24, 2022",N703TH,Human factor
"May 12, 2022",B-6425,Human factor
"May 8, 2022",N801DT,Human factor
"May 6, 2022",XB-FQS,Human factor
"Apr 22, 2022",UR-UZB,Human factor
"Apr 21, 2022",N84GR,Human factor
"Apr 13, 2022",N928JP,Human factor
"Apr 3, 2022",PT-ECU,Human factor
"Apr 2, 2022",N877W,Human factor
"Mar 30, 2022",D-FLIC,Human factor
"Feb 15, 2022",N821RR,Human factor
"Feb 13, 2022",N79NX,Human factor
"Feb 13, 2022",N2445F,Human factor
"Feb 11, 2022",RA-33599,Human factor
"Jan 18, 2022",P2-BWE,Human factor
"Jan 5, 2022",N145TT,Human factor
"Dec 27, 2021",N880Z,Human factor
"Dec 21, 2021",N1116N,Human factor
"Dec 10, 2021",N744Z,Human factor
"Dec 5, 2021",N64BR,Human factor
"Nov 20, 2021",N9794M,Human factor
"Nov 15, 2021",N290KA,Human factor
"Nov 13, 2021",N866JA,Human factor
"Nov 5, 2021",PT-ONJ,Human factor
"Oct 19, 2021",N987AK,Human factor
"Oct 11, 2021",N7022G,Human factor
"Oct 10, 2021",C-FFYM,Human factor
"Oct 5, 2021",N283SA,Human factor
"Sep 28, 2021",N690LS,Human factor
"Sep 22, 2021",RA-26673,Human factor
"Sep 14, 2021",G-BKGL,Human factor
"Sep 12, 2021",RA-67042,Human factor
"Sep 9, 2021",N88833,Human factor
"Sep 2, 2021",N560AR,Human factor
"Aug 24, 2021",N1GG,Human factor
"Aug 21, 2021",N277GM,Human factor
"Aug 20, 2021",N700DT,Human factor
"Aug 16, 2021",C-GYLD,Human factor
"Aug 6, 2021",F-HYGA,Human factor
"Aug 5, 2021",N1249K,Human factor
"Jul 26, 2021",N605TR,Human factor
"Jul 18, 2021",N333WW,Human factor
"Jul 16, 2021",RA-28728,Human factor
"Jul 13, 2021",N678SW,Human factor
"Jul 8, 2021",SE-KKD,Human factor
"Jul 8, 2021",HK-2820,Human factor
"Jul 6, 2021",RA-26085,Human factor
"Jul 5, 2021",N790JR,Human factor
"Jul 2, 2021",N810TA,Human factor
"Jul 1, 2021",N10HK,Human factor
"May 29, 2021",N66BK,Human factor
"May 21, 2021",N575BC,Human factor
"May 12, 2021",N280KL,Human factor
"May 6, 2021",VT-MPQ,Human factor
"May 6, 2021",C-FAAZ,Human factor
"May 5, 2021",N22ST,Human factor
"May 4, 2021",N322TA,Human factor
"Apr 19, 2021",N801EC,Human factor
"Apr 16, 2021",N827RD,Human factor
"Mar 20, 2021",5Y-JKN,Human factor
"Mar 11, 2021",,Human factor
"Feb 13, 2021",N823RC,Human factor
"Feb 7, 2021",N44776,Human factor
"Feb 2, 2021",N221ST,Human factor
"Jan 23, 2021",XB-JMR,Human factor
"Jan 19, 2021",G-JMCY,Human factor
"Jan 10, 2021",N421DP,Human factor
"Jan 9, 2021",N3RB,Human factor
"Jan 8, 2021",HK-3856-G,Human factor
"Jan 2, 2021",PP-BBV,Human factor
"Dec 20, 2020",N412JA,Human factor
"Dec 19, 2020",N662TC,Human factor
