date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1970-01-02,Accident,Douglas DC-3,Xieng Khouang Air Transport,1951,Multi Piston Engines,Unknown,Landing (descent or approach),Cargo,Mountains,"Long Tieng, Vientiane Province",Laos,Asia,20.0171109,103.378253,Destroyed,4,4,0,Unknown
1970-01-02,Accident,Lockheed 18 LodeStar,Sky King Inc.,1943,Multi Piston Engines,Unknown,Takeoff (climb),Training,Airport (less than 10 km from airport),"North Little Rock-Municipal, Arkansas",United States of America,North America,34.8322459,-92.2597576,Destroyed,2,0,0,Human factor
1970-01-03,Unknown,Fairchild C-123 Provider,United States Air Force - USAF (since 1947),1954,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Phan Rang, Ninh Thuận Province",Vietnam,Asia,11.5769829,108.9865391,Unknown,5,0,0,Technical failure
1970-01-05,Accident,Fokker F27 Friendship,Iberia - Lineas Aéreas de Espana,1968,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"La Palma (La Palma Island), Canary Islands",Spain,Europe,28.6551163,-17.857268565579673,Destroyed,49,0,0,Unknown
1970-01-05,Accident,Convair CV-990,Spantax,1962,Multi Jet Engines,General Electric CJ805-23,Takeoff (climb),Positioning,Airport (less than 10 km from airport),"Stockholm-Arlanda, Uppland",Sweden,Europe,59.6749712,14.5208584,Destroyed,10,5,0,Human factor
1970-01-10,Unknown,Beechcraft D18,Sherman Aircraft Sales,1946,Unknown,Unknown,Landing (descent or approach),Ferry,Airport (less than 10 km from airport),"Freeport, West Grand Bahama",Bahamas,Central America,26.5415671,-78.7701794,Unknown,1,0,0,Technical failure
1970-01-12,Unknown,Douglas C-47 Skytrain (DC-3),Hellenic Air Force - Elleniki Polemiki Aeroporia,1951,Unknown,Unknown,Flight,Skydiving / Paratroopers,Mountains,"Vilia, Attica / Αττική",Greece,Europe,38.9953683,21.9877132,Unknown,27,23,0,Weather
1970-01-12,Unknown,Dornier DO.28A/B,Nigerian Air Force,1951,Unknown,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Lagos-Murtala Muhammed, Lagos",Nigeria,Africa,9.6000359,7.9999721,Unknown,0,0,0,Human factor
1970-01-13,Accident,Douglas C-47 Skytrain (DC-3),Royal Thai Air Force - Kong Thap Akat Thai,1943,Multi Piston Engines,Pratt & Whitney R-1830-92,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Chiang Klang, Nan (น่าน)",Thailand,Asia,19.2847032,100.862686,Destroyed,6,1,0,Unknown
1970-01-14,Accident,Douglas C-54 Skymaster,Faucett,1945,Multi Piston Engines,Unknown,Flight,Scheduled Revenue Flight,Mountains,"Mt Pumacona, San Martín",Peru,South America,-6.8699697,-75.0458515,Destroyed,28,28,0,Human factor
1970-01-14,Accident,De Havilland DH.106 Comet,United Arab Airlines,1964,Multi Jet Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Addis Ababa-Bole, Addis Ababa City District",Ethiopia,Africa,10.2116702,38.6521203,Destroyed,14,0,0,Human factor
1970-01-15,Accident,Beechcraft 99 Airliner,Air Alpes,1969,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-20,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Chambéry-Aix-les-Bains, Savoie",France,Europe,45.68872295,5.912777706099845,Destroyed,17,0,0,Human factor
1970-01-16,Unknown,Mitsubishi MU-2 Marquise,Carmen Leasing,1969,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Salisbury-Wicomico County, Maryland",United States of America,North America,38.366027,-75.6009964,Unknown,5,0,0,Technical failure
1970-01-17,Accident,Convair CV-240,Aspen Airways,1949,Multi Piston Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Aspen-Pitkin County-Sardy Field, Colorado",United States of America,North America,39.22142085,-106.86734117631343,Destroyed,27,0,0,Human factor
1970-01-18,Unknown,Noorduyn Norseman,Skyservice Aviation,1943,Unknown,Unknown,Flight,Skydiving / Paratroopers,"Lake, Sea, Ocean, River","Sydney, New South Wales",Australia,Oceania,-33.8698439,151.2082848,Unknown,9,0,0,Technical failure
1970-01-19,Accident,Vickers Viscount,Cambrian Airways,1953,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Bristol-Lulsgate, Somerset",United Kingdom,Europe,51.38798040554192,-2.7002251180325167,Substantial,63,0,0,Unknown
1970-01-21,Unknown,Rockwell Grand Commander 680,Antonio Pesce,1951,Unknown,Unknown,Landing (descent or approach),Private,"Plain, Valley","Sant’Angelo Lodigiano, Lombardy",Italy,Europe,45.238067,9.408656,Unknown,2,2,0,Technical failure
1970-01-21,Accident,IAI 1124 Westwind,Israel Aerospace Industries - IAI,1965,Unknown,Unknown,Flight,Test,"Plain, Valley","Beit She'an, Northern District",Israel,Asia,30.8124247,34.8594762,Destroyed,4,0,0,Technical failure
1970-01-22,Unknown,Rockwell Aero Commander 680,Rocky Mountain Airways,1965,Unknown,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Aspen-Pitkin County-Sardy Field, Colorado",United States of America,North America,39.22142085,-106.86734117631343,Unknown,8,8,0,Human factor
1970-01-22,Accident,Vickers Viscount,British Midland International - BMI,1958,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"London-Heathrow, London Metropolis",United Kingdom,Europe,54.7023545,-3.2765753,Destroyed,42,0,0,Technical failure
1970-01-24,Unknown,Beechcraft C-45 Expeditor,Buckeye Air Services,1944,Unknown,Unknown,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Kalamazoo-Battle Creek, Michigan",United States of America,North America,42.2307865,-85.5510419237961,Unknown,2,2,0,Human factor
1970-01-25,Accident,Convair CV-240,Comisión Federal de Electricidad,1948,Multi Piston Engines,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Poza Rica, Veracruz",Mexico,Central America,20.5320852,-97.4536355,Destroyed,19,18,0,Human factor
