name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
AERMACCHI SF.260,AERMACCHI,SF.260,Narrow,,Fixed Wing,,Piston,Single,8.22 m,7.00 m,2.60 m,"['TUSAS SF-260', 'SIAI-MARCHETTI SF-260D', 'SIAI-MARCHETTI SF-260M', 'SIAI-MARCHETTI SF-260F', 'SIAI-MARCHETTI SF-260E', 'SIAI-MARCHETTI SF-260C', 'SIAI-MARCHETTI SF-260A', 'SIAI-MARCHETTI SF-260', 'SIAI-MARCHETTI SF-260B', 'SIAI-MARCHETTI Warrior', 'SIAI-MARCHETTI SF-260W Warrior', 'AERMACCHI T-260', 'AERMACCHI F-260']"
AERMACCHI MB-339,AERMACCHI,MB-339,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, low set",Jet,Single,10.90 m,11.00 m,4.00 m,['AERMACCHI MB-339']
AERO (1) Commander 560,AERO (1),Commander 560,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,14.90 m,11.20 m,4.60 m,"['AERO (1) L-26B Commander 560', 'AERO (1) U-4A Commander 560', 'AERO (1) Commander 560', 'AERO COMMANDER Commander 560', 'AERO COMMANDER 560 Commander 560']"
AERO (2) L-159,AERO (2),L-159,Narrow,Low wing with wing tip tanks,Fixed Wing,"Regular tail, mid set",Jet,Single,9.50 m,12.70 m,4.80 m,"['AERO (2) Albatros 2', 'AERO (2) L-159 Albatros 2', 'AERO (2) L-159']"
AERO COMMANDER Commander 680F,AERO COMMANDER,Commander 680F,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Multi,13.40 m,13.10 m,4.60 m,"['AERO (1) Commander 680F', 'AERO (1) Commander 680E', 'AERO (1) Commander 680 Super', 'AERO COMMANDER Commander 680FP', 'AERO COMMANDER Commander 680F', 'AERO COMMANDER 680FP Commander 680FP', 'AERO COMMANDER 680F Commander 680F', 'AERO (1) U-9 Commander 680 Super', 'AERO (1) U-4B Commander 680 Super', 'AERO (1) L-26C Commander 680 Super']"
AERO SPACELINES 377SGT Super Guppy,AERO SPACELINES,377SGT Super Guppy,Wide,,Fixed Wing,,Turboprop,Multi,47.63 m,43.84 m,14.78 m,"['AERO SPACELINES Super Guppy', 'AERO SPACELINES 377SGT Super Guppy']"
AERO VODOCHODY L-39,AERO VODOCHODY,L-39,,Low wing with wing tip tanks,Fixed Wing,"Regular tail, high set",Jet,Single,8.70 m,12.70 m,4.80 m,"['AERO (2) L-39 Albatros', 'AERO (2) Albatros', 'AERO (2) L-139 Albatros']"
AEROSPATIALE Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m,"['SUD SE-3130 Alouette 2', 'SUD SE-313 Alouette 2', 'SUD SA-3180 Alouette 2', 'SUD SA-318 Alouette 2', 'SUD Alouette 2', 'SUD-EST Alouette 2', 'SUD-EST SE-3130 Alouette 2', 'REPUBLIC SE-3130 Alouette 2', 'REPUBLIC Alouette 2', 'AEROSPATIALE SA-318 Alouette 2', 'AEROSPATIALE Alouette 2']"
AEROSPATIALE Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m,"['SUD SA-316 Alouette 3', 'SUD SA-319 Alouette 3', 'SUD SE-3160 Alouette 3', 'SUD Alouette 3', 'LICHTWERK Alouette 3', 'LICHTWERK SE-3160 Alouette 3', 'ICA Alouette 3', 'ICA IAR-316 Alouette 3', 'HINDUSTAN SA-316 Chetak', 'HINDUSTAN SA-316 Chetan', 'HINDUSTAN SE-3160 Chetak', 'HINDUSTAN Chetan', 'HINDUSTAN Chetak', 'F+W EMMEN Alouette 3', 'F+W EMMEN SE-3160 Alouette 3', 'AEROSPATIALE SA-319 Alouette 3', 'AEROSPATIALE Alouette 3', 'AEROSPATIALE SA-316 Alouette 3']"
AEROSPATIALE AS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m,"['TUSAS Cougar', 'SINGAPORE AS-332 Super Puma', 'SINGAPORE Super Puma', 'TUSAS AS-532 Cougar', 'SF AS-532 Cougar', 'SF Cougar', 'NURTANIO Super Puma', 'NURTANIO NAS-332 Super Puma', 'NUSANTARA Super Puma', 'NUSANTARA NAS-332 Super Puma', 'RUAG Cougar', 'RUAG AS-532 Cougar', 'EUROCOPTER AS-532UC Cougar', 'EUROCOPTER AS-532SC Cougar', 'EUROCOPTER AS-532AL Cougar', 'EUROCOPTER AS-332M1 Super Puma', 'EUROCOPTER AS-332L1 Super Puma', 'EUROCOPTER Super Puma', 'EUROCOPTER Hkp10 Super Puma', 'EUROCOPTER Cougar', 'EUROCOPTER AS-532UL Cougar', 'DIRGANTARA Super Puma', 'DIRGANTARA NAS-332 Super Puma', 'CASA Super Puma', 'CASA Cougar', 'CASA AS-332 Super Puma', 'ATLAS Oryx', 'ATLAS SA-330 Oryx', 'AEROSPATIALE AS-332L Super Puma', 'AEROSPATIALE AS-332M1 Super Puma', 'AEROSPATIALE AS-332M Super Puma', 'AEROSPATIALE AS-532SC Cougar', 'AEROSPATIALE AS-332L Tiger', 'AEROSPATIALE Cougar', 'AEROSPATIALE Hkp10 Super Puma', 'AEROSPATIALE AS-532UL Cougar', 'AEROSPATIALE Tiger', 'AEROSPATIALE Super Puma', 'AEROSPATIALE AS-332B Super Puma', 'AEROSPATIALE AS-332B1 Super Puma', 'AEROSPATIALE AS-532UC Cougar', 'AEROSPATIALE AS-332C Super Puma', 'AEROSPATIALE AS-332F1 Super Puma', 'AEROSPATIALE AS-332L1 Super Puma']"
